title,price,location,url,description
Laptop Battery for Hp Elitebook Folio 9470M,"KSh 2,499","Nairobi, Nairobi Central",https://jiji.co.ke/nairobi-central/computer-accessories/laptop-battery-for-hp-elitebook-folio-9470m-s59F64rsIHrLGu0CexzKYbBH.html?page=16&pos=14&cur_pos=14&ads_per_page=24&ads_count=263478&lid=RqwZypEu07o75UgS&indexPosition=13,"Verified IDKSh 2,499Laptop Battery for Hp Elitebook Folio 9470MAll laptop chargers,batteries,keyboards,screens,mouse,hdmi cables,casings available with warranty
we...Brand NewNairobi, Nairobi Central"
"All laptop chargers,batteries,keyboards,screens,mouse,hdmi cables,casings available with warranty",,"Nairobi, Nairobi Central",,"All laptop chargers,batteries,keyboards,screens,mouse,hdmi cables,casings available with warranty
we...Brand NewNairobi, Nairobi Central"
HP Laptop 65W USB C Power Adapter Charger - HP Type C,"KSh 1,997","Nairobi, Nairobi Central",https://jiji.co.ke/nairobi-central/computer-accessories/hp-laptop-65w-usb-c-power-adapter-charger-hp-type-c-BKpnzhKcIEcH4tdGFqHomICq.html?page=16&pos=17&cur_pos=17&ads_per_page=24&ads_count=263478&lid=RqwZypEu07o75UgS&indexPosition=16,"Verified IDKSh 1,997HP Laptop 65W USB C Power Adapter Charger - HP Type CHP Laptop 65W USB C Power Adapter Charger - HP Type C
All Laptop Chargers and Batteries are...Brand NewNairobi, Nairobi Central"
"KSh 1,997","KSh 1,997",,,"KSh 1,997"
Derwel 12 Inch 12AH975 Speaker,"KSh 6,500","Nairobi, Nairobi Central",https://jiji.co.ke/nairobi-central/audio-and-music-equipment/derwel-12-inch-12ah975-speaker-i0XlcU2YXJVSS49gMyRNf6E7.html?page=16&pos=20&cur_pos=20&ads_per_page=24&ads_count=263478&lid=RqwZypEu07o75UgS&indexPosition=19,"Verified IDKSh 6,500Derwel 12 Inch 12AH975 SpeakerNew Derwel 12 inch 12AH975 Speaker now availableBrand NewNairobi, Nairobi Central"
"New Derwel 12 inch 12AH975 Speaker now availableBrand NewNairobi, Nairobi Central",,"Nairobi, Nairobi Central",,"New Derwel 12 inch 12AH975 Speaker now availableBrand NewNairobi, Nairobi Central"
New Derwel 12 inch 12AH975 Speaker now available,,,,New Derwel 12 inch 12AH975 Speaker now available
Kodak C4 Charger 2000mah,"KSh 2,800","Nairobi, Nairobi Central",https://jiji.co.ke/nairobi-central/accessories-and-supplies-for-electronics/kodak-c4-charger-2000mah-Bkz0DYrZJuccoK39RgswJWnJ.html?page=16&pos=23&cur_pos=23&ads_per_page=24&ads_count=263478&lid=RqwZypEu07o75UgS&indexPosition=22,"Verified IDKSh 2,800Kodak C4 Charger 2000mah-Includes 4 AA NiMH rechargeable batteries
-Battery capacity: 2100mAh
-Ready to use straight from...Nairobi, Nairobi Central"
-Includes 4 AA NiMH rechargeable batteries,,"Nairobi, Nairobi Central",,"-Includes 4 AA NiMH rechargeable batteries
-Battery capacity: 2100mAh
-Ready to use straight from...Nairobi, Nairobi Central"
Type C to C Macbook Cable,KSh 700,"Nairobi, Nairobi Central",https://jiji.co.ke/nairobi-central/computer-accessories/type-c-to-c-macbook-cable-CHrjfmN1sZTmvke94K2xSoM.html?page=16&pos=3&cur_pos=3&ads_per_page=24&ads_count=263478&lid=RqwZypEu07o75UgS&indexPosition=2,"KSh 700Type C to C Macbook CableIt is MacBook cable 1.5 metersBrand NewNairobi, Nairobi Central"
"It is MacBook cable 1.5 metersBrand NewNairobi, Nairobi Central",,"Nairobi, Nairobi Central",,"It is MacBook cable 1.5 metersBrand NewNairobi, Nairobi Central"
It is MacBook cable 1.5 meters,,,,It is MacBook cable 1.5 meters
Brand New Kyocera Ecosys Fs 1025 Photocopier Machine,"KSh 28,000","Nairobi, Nairobi Central",https://jiji.co.ke/nairobi-central/printers-and-scanners/brand-new-kyocera-ecosys-fs-1025-photocopier-machine-eOgJqkiXzkTDrSI1vz6bjZHx.html?page=16&pos=6&cur_pos=6&ads_per_page=24&ads_count=263478&lid=RqwZypEu07o75UgS&indexPosition=5,"KSh 28,000Brand New Kyocera Ecosys Fs 1025 Photocopier Machinebrand new Kyocera ecosys fs 1025 photocopier machineNairobi, Nairobi Central"
"brand new Kyocera ecosys fs 1025 photocopier machineNairobi, Nairobi Central",,"Nairobi, Nairobi Central",,"brand new Kyocera ecosys fs 1025 photocopier machineNairobi, Nairobi Central"
Verified Epson 103 Clarion Ink at an Amazing Price,KSh 500,"Nairobi, Nairobi Central",https://jiji.co.ke/nairobi-central/accessories-and-supplies-for-electronics/verified-epson-103-clarion-ink-at-an-amazing-price-8KKSsUPUbNJu317vFYMGNCGI.html?page=16&pos=9&cur_pos=9&ads_per_page=24&ads_count=263478&lid=RqwZypEu07o75UgS&indexPosition=8,"KSh 500Verified Epson 103 Clarion Ink at an Amazing PriceAll genuine toners and cartridges available at wholesale prices.
We are located along Moi Avenue...Nairobi, Nairobi Central"
All genuine toners and cartridges available at wholesale prices.,,"Nairobi, Nairobi Central",,"All genuine toners and cartridges available at wholesale prices.
We are located along Moi Avenue...Nairobi, Nairobi Central"
12 Inches Woofer Box Cabinet,"KSh 2,500","Nairobi, Nairobi Central",https://jiji.co.ke/nairobi-central/audio-and-music-equipment/12-inches-woofer-box-cabinet-ph0LHiVwXXCpBjNRsE9LMCWD.html?page=16&pos=12&cur_pos=12&ads_per_page=24&ads_count=263478&lid=RqwZypEu07o75UgS&indexPosition=11,"KSh 2,50012 Inches Woofer Box Cabinet12 inches woofer box cabinetBrand NewNairobi, Nairobi Central"
"12 inches woofer box cabinetBrand NewNairobi, Nairobi Central",,"Nairobi, Nairobi Central",,"12 inches woofer box cabinetBrand NewNairobi, Nairobi Central"
Leather Photo Album 100 (4*6),KSh 650,"Nairobi, Nairobi Central",https://jiji.co.ke/nairobi-central/accessories-and-supplies-for-electronics/leather-photo-album-100-4-6-yJw9UbgQ4vlMnroUrJbC28os.html?page=16&pos=15&cur_pos=15&ads_per_page=24&ads_count=263478&lid=RqwZypEu07o75UgS&indexPosition=14,"Verified IDKSh 650Leather Photo Album 100 (4*6)-Material: Paper+; Holds 100 photos(4*6 INCHES); Excellent craftsmanship; Durable and practical;...Nairobi, Nairobi Central"
"-Material: Paper+; Holds 100 photos(4*6 INCHES); Excellent craftsmanship; Durable and practical;...Nairobi, Nairobi Central",,"Nairobi, Nairobi Central",,"-Material: Paper+; Holds 100 photos(4*6 INCHES); Excellent craftsmanship; Durable and practical;...Nairobi, Nairobi Central"
-Material: Paper+; Holds 100 photos(4*6 INCHES); Excellent craftsmanship; Durable and practical;...,,,,-Material: Paper+; Holds 100 photos(4*6 INCHES); Excellent craftsmanship; Durable and practical;...
Duracell MN 27A 12volts Alkaline Battery,KSh 400,"Nairobi, Nairobi Central",https://jiji.co.ke/nairobi-central/accessories-and-supplies-for-electronics/duracell-mn-27a-12volts-alkaline-battery-kNXFKg04yxWCsXFEhlyisj7E.html?page=16&pos=18&cur_pos=18&ads_per_page=24&ads_count=263478&lid=RqwZypEu07o75UgS&indexPosition=17,"Verified IDKSh 400Duracell MN 27A 12volts Alkaline Battery-Duracell 27 12V Alkaline Battery, 1 Count Pack, 
-27A 12 Volt Alkaline Battery, -Long-Lasting for...Nairobi, Nairobi Central"
"-Duracell 27 12V Alkaline Battery, 1 Count Pack,",,"Nairobi, Nairobi Central",,"-Duracell 27 12V Alkaline Battery, 1 Count Pack, 
-27A 12 Volt Alkaline Battery, -Long-Lasting for...Nairobi, Nairobi Central"
Laptop Battery for Lenovo Thinkpad T470 T570 P51S A475 T480,"KSh 2,999","Nairobi, Nairobi Central",https://jiji.co.ke/nairobi-central/computer-accessories/laptop-battery-for-lenovo-thinkpad-t470-t570-p51s-a475-t480-8DsCh3vW6qZukpfaXl5WDGJO.html?page=16&pos=21&cur_pos=21&ads_per_page=24&ads_count=263478&lid=RqwZypEu07o75UgS&indexPosition=20,"Verified IDENTERPRISEKSh 2,999Laptop Battery for Lenovo Thinkpad T470 T570 P51S A475 T480Laptop Battery for Lenovo ThinkPad A475 T470 T570 T480 T580 P51S P52S TP25 Series 61 4X50M08810...Brand NewNair"
"Laptop Battery for Lenovo ThinkPad A475 T470 T570 T480 T580 P51S P52S TP25 Series 61 4X50M08810...Brand NewNairobi, Nairobi Central",,"Nairobi, Nairobi Central",,"Laptop Battery for Lenovo ThinkPad A475 T470 T570 T480 T580 P51S P52S TP25 Series 61 4X50M08810...Brand NewNairobi, Nairobi Central"
Laptop Battery for Lenovo ThinkPad A475 T470 T570 T480 T580 P51S P52S TP25 Series 61 4X50M08810...,,,,Laptop Battery for Lenovo ThinkPad A475 T470 T570 T480 T580 P51S P52S TP25 Series 61 4X50M08810...
Fane Colosus 18- XB Bass Speaker,"KSh 45,000","Nairobi, Nairobi Central",https://jiji.co.ke/nairobi-central/audio-and-music-equipment/fane-colosus-18-xb-bass-speaker-pCrl43mQ4JMrTxizgGDgBr5R.html?page=16&pos=24&cur_pos=24&ads_per_page=24&ads_count=263478&lid=RqwZypEu07o75UgS&indexPosition=23,"Verified IDKSh 45,000Fane Colosus 18- XB Bass SpeakerNew Fane Colosus 18- XB Bass speaker now availableBrand NewNairobi, Nairobi Central"
"New Fane Colosus 18- XB Bass speaker now availableBrand NewNairobi, Nairobi Central",,"Nairobi, Nairobi Central",,"New Fane Colosus 18- XB Bass speaker now availableBrand NewNairobi, Nairobi Central"
New Fane Colosus 18- XB Bass speaker now available,,,,New Fane Colosus 18- XB Bass speaker now available
Ubiquiti Lap 120/Ubiquiti Lap-120 Liteap Ac Access Point,"KSh 12,499","Nairobi, Nairobi Central",https://jiji.co.ke/nairobi-central/networking-products/ubiquiti-lap-120-ubiquiti-lap-120-liteap-ac-access-point-BYCzCPBb41KdZwZJK5bfyBtH.html?page=17&pos=1&cur_pos=1&ads_per_page=24&ads_count=263478&lid=aM_adZCltcFmHXqv&indexPosition=0,"Sort by:SortVerified IDKSh 12,499Ubiquiti Lap 120/Ubiquiti Lap-120 Liteap Ac Access PointUbiquiti LAP-120 LiteAP AC GPS Sector Antenna is an ultra-lightweight airMAX ac Access Point with...Ubiquiti Ne"
"Ubiquiti LAP-120 LiteAP AC GPS Sector Antenna is an ultra-lightweight airMAX ac Access Point with...Ubiquiti NetworksBrand NewNairobi, Nairobi Central",,"Nairobi, Nairobi Central",,"Ubiquiti LAP-120 LiteAP AC GPS Sector Antenna is an ultra-lightweight airMAX ac Access Point with...Ubiquiti NetworksBrand NewNairobi, Nairobi Central"
Ubiquiti LAP-120 LiteAP AC GPS Sector Antenna is an ultra-lightweight airMAX ac Access Point with...,,,,Ubiquiti LAP-120 LiteAP AC GPS Sector Antenna is an ultra-lightweight airMAX ac Access Point with...
Ps5 Slim With Original Controller.,"KSh 65,999","Nairobi, Nairobi Central",https://jiji.co.ke/nairobi-central/video-games-and-consoles/ps5-slim-with-original-controller-8OIwaHJUycGRyULrXOzvPs2h.html?page=17&pos=4&cur_pos=4&ads_per_page=24&ads_count=263478&lid=aM_adZCltcFmHXqv&indexPosition=3,"KSh 65,999Ps5 Slim With Original Controller.Slightly ex japan ps5 slim with original controller and a warranty of 12months.UsedNairobi, Nairobi Central"
"KSh 65,999","KSh 65,999",,,"KSh 65,999"
"Slightly ex japan ps5 slim with original controller and a warranty of 12months.UsedNairobi, Nairobi Central",,"Nairobi, Nairobi Central",,"Slightly ex japan ps5 slim with original controller and a warranty of 12months.UsedNairobi, Nairobi Central"
Slightly ex japan ps5 slim with original controller and a warranty of 12months.,,,,Slightly ex japan ps5 slim with original controller and a warranty of 12months.
Epson L850,"KSh 35,000","Nairobi, Nairobi Central",https://jiji.co.ke/nairobi-central/printers-and-scanners/epson-l850-1CmEwMiljUMv0vq9wrnSjdes.html?page=17&pos=7&cur_pos=7&ads_per_page=24&ads_count=263478&lid=aM_adZCltcFmHXqv&indexPosition=6,"KSh 35,000Epson L850A perfect printer for lab quality photos 
can do photocopy, scanning and printingInk-Jet PrinterRefurbishedNairobi, Nairobi Central"
A perfect printer for lab quality photos,,"Nairobi, Nairobi Central",,"A perfect printer for lab quality photos 
can do photocopy, scanning and printingInk-Jet PrinterRefurbishedNairobi, Nairobi Central"
"Screen Cleaner for Laptops, Tvs and iPads.",KSh 700,"Nairobi, Nairobi Central",https://jiji.co.ke/nairobi-central/computer-accessories/screen-cleaner-for-laptops-tvs-and-ipads-rDMVVQlTw2IaR1WzuYvY7bxZ.html?page=17&pos=10&cur_pos=10&ads_per_page=24&ads_count=263478&lid=aM_adZCltcFmHXqv&indexPosition=9,"KSh 700Screen Cleaner for Laptops, Tvs and iPads.Screen cleaner for all your LCD surfaces... laptops,ipads,TV's, tablets... cleans and removes dirt,...Brand NewNairobi, Nairobi Central"
"Screen cleaner for all your LCD surfaces... laptops,ipads,TV's, tablets... cleans and removes dirt,...Brand NewNairobi, Nairobi Central",,"Nairobi, Nairobi Central",,"Screen cleaner for all your LCD surfaces... laptops,ipads,TV's, tablets... cleans and removes dirt,...Brand NewNairobi, Nairobi Central"
"Screen cleaner for all your LCD surfaces... laptops,ipads,TV's, tablets... cleans and removes dirt,...",,,,"Screen cleaner for all your LCD surfaces... laptops,ipads,TV's, tablets... cleans and removes dirt,..."
Yaggi Antenna,"KSh 2,000","Nairobi, Nairobi Central",https://jiji.co.ke/nairobi-central/networking-products/yaggi-antenna-BwZcuLoxkpInp6MBMBz6fvxL.html?page=17&pos=13&cur_pos=13&ads_per_page=24&ads_count=263478&lid=aM_adZCltcFmHXqv&indexPosition=12,"KSh 2,000Yaggi AntennaThis product is originalUniversalBrand NewNairobi, Nairobi Central"
"This product is originalUniversalBrand NewNairobi, Nairobi Central",,"Nairobi, Nairobi Central",,"This product is originalUniversalBrand NewNairobi, Nairobi Central"
This product is original,,,,This product is original
UniversalBrand New,,,,UniversalBrand New
Universal,,,,Universal
New Desktop Computer 16GB Intel Core I5 SSD 1T,"KSh 169,999","Nairobi, Nairobi Central",https://jiji.co.ke/nairobi-central/computers-and-laptops/new-desktop-computer-16gb-intel-core-i5-ssd-1t-yT3OU5w0NNfqpRed7TXnkVjl.html?page=17&pos=16&cur_pos=16&ads_per_page=24&ads_count=263478&lid=aM_adZCltcFmHXqv&indexPosition=15,"Verified IDKSh 169,999New Desktop Computer 16GB Intel Core I5 SSD 1TUstom gaming desktop pc, asrock h610m-hdv m.2 r2.0 motherboard, intel core i5-12400f processor,...Brand NewIntel Core i5Nairobi, Nai"
"KSh 169,999","KSh 169,999",,,"KSh 169,999"
"Ustom gaming desktop pc, asrock h610m-hdv m.2 r2.0 motherboard, intel core i5-12400f processor,...Brand NewIntel Core i5Nairobi, Nairobi Central",,"Nairobi, Nairobi Central",,"Ustom gaming desktop pc, asrock h610m-hdv m.2 r2.0 motherboard, intel core i5-12400f processor,...Brand NewIntel Core i5Nairobi, Nairobi Central"
"Ustom gaming desktop pc, asrock h610m-hdv m.2 r2.0 motherboard, intel core i5-12400f processor,...",,,,"Ustom gaming desktop pc, asrock h610m-hdv m.2 r2.0 motherboard, intel core i5-12400f processor,..."
Sony WF-XB700 EXTRA BASS True Wireless Earbuds With Mic,"KSh 10,499","Nairobi, Nairobi Central",https://jiji.co.ke/nairobi-central/headphones/sony-wf-xb700-extra-bass-true-wireless-earbuds-with-mic-nMM6LHiUcKNRtaxid8s2Ha0u.html?page=17&pos=19&cur_pos=19&ads_per_page=24&ads_count=263478&lid=aM_adZCltcFmHXqv&indexPosition=18,"Verified IDKSh 10,499Sony WF-XB700 EXTRA BASS True Wireless Earbuds With MicFeatures:
•truly wireless design with bluetooth wireless technology for total freedom
•extra bass...WirelessBrand NewNairobi"
"KSh 10,499","KSh 10,499",,,"KSh 10,499"
WirelessBrand New,,,,WirelessBrand New
"Meta Quest
3S 128GB Mixed Reality All-in-One Headset - New","KSh 43,999","Nairobi, Nairobi Central",https://jiji.co.ke/nairobi-central/accessories-and-supplies-for-electronics/meta-quest-3s-128gb-mixed-reality-all-in-one-headset-new-ubRVZ6i3NGAxTrdcBsYUgfO5.html?page=17&pos=22&cur_pos=22&ads_per_page=24&ads_count=263478&lid=aM_adZCltcFmHXqv&indexPosition=21,"Verified IDKSh 43,999Meta Quest
3S 128GB Mixed Reality All-in-One Headset - NewFeatures:
-Explore thousands of unreal experiences with mixed reality, where you can blend digital...Nairobi, Nairobi Cen"
"KSh 43,999","KSh 43,999",,,"KSh 43,999"
Meta Quest,,,,"Meta Quest
3S 128GB Mixed Reality All-in-One Headset - New"
UGREEN 10000mah Two-Way Fast Charging Power Bank - PB502,"KSh 4,999","Nairobi, Nairobi Central",https://jiji.co.ke/nairobi-central/computer-accessories/ugreen-10000mah-two-way-fast-charging-power-bank-pb502-g8xWv9SeRtKjRo7B1Pr7PFsh.html?page=17&pos=2&cur_pos=2&ads_per_page=24&ads_count=263478&lid=aM_adZCltcFmHXqv&indexPosition=1,"Verified IDKSh 4,999UGREEN 10000mah Two-Way Fast Charging Power Bank - PB502UGREEN 10000mAh Two-way Fast Charging Power Bank - PB502Brand NewNairobi, Nairobi Central"
"UGREEN 10000mAh Two-way Fast Charging Power Bank - PB502Brand NewNairobi, Nairobi Central",,"Nairobi, Nairobi Central",,"UGREEN 10000mAh Two-way Fast Charging Power Bank - PB502Brand NewNairobi, Nairobi Central"
Epson L3150 Printer,"KSh 18,000","Nairobi, Nairobi Central",https://jiji.co.ke/nairobi-central/printers-and-scanners/epson-l3150-printer-a6yN1akhdGG5u9HI2Nq3Ylwv.html?page=17&pos=5&cur_pos=5&ads_per_page=24&ads_count=263478&lid=aM_adZCltcFmHXqv&indexPosition=4,"KSh 18,000Epson L3150 PrinterClean eco tank printer for office or home useInk-Jet PrinterRefurbishedNairobi, Nairobi Central"
"Clean eco tank printer for office or home useInk-Jet PrinterRefurbishedNairobi, Nairobi Central",,"Nairobi, Nairobi Central",,"Clean eco tank printer for office or home useInk-Jet PrinterRefurbishedNairobi, Nairobi Central"
Clean eco tank printer for office or home use,,,,Clean eco tank printer for office or home use
Laptop Sleeves With Zipper,KSh 800,"Nairobi, Nairobi Central",https://jiji.co.ke/nairobi-central/computer-accessories/laptop-sleeves-with-zipper-r2apgnPRfrJmXuxlFVCVryne.html?page=17&pos=8&cur_pos=8&ads_per_page=24&ads_count=263478&lid=aM_adZCltcFmHXqv&indexPosition=7,"KSh 800Laptop Sleeves With ZipperLaptop sleeves with zipper.Brand NewNairobi, Nairobi Central"
"Laptop sleeves with zipper.Brand NewNairobi, Nairobi Central",,"Nairobi, Nairobi Central",,"Laptop sleeves with zipper.Brand NewNairobi, Nairobi Central"
Laptop sleeves with zipper.,,,,Laptop sleeves with zipper.
Lba 100 Power Amplifier,"KSh 18,000","Nairobi, Nairobi Central",https://jiji.co.ke/nairobi-central/audio-and-music-equipment/lba-100-power-amplifier-6bRZm2hsqRkfAnPcD4EfWapz.html?page=17&pos=11&cur_pos=11&ads_per_page=24&ads_count=263478&lid=aM_adZCltcFmHXqv&indexPosition=10,"KSh 18,000Lba 100 Power AmplifierLba 100 power amplifier
contact for more detailsBrand NewNairobi, Nairobi Central"
Eset Antivirus 2users,"KSh 1,700","Nairobi, Nairobi Central",https://jiji.co.ke/nairobi-central/computer-software/eset-antivirus-2users-tAnzcFV5G8h7gJdbDQ1zcxZ9.html?page=17&pos=14&cur_pos=14&ads_per_page=24&ads_count=263478&lid=aM_adZCltcFmHXqv&indexPosition=13,"KSh 1,700Eset Antivirus 2usersEset node 32 antivirus 2 usersWindowsNairobi, Nairobi Central"
"Eset node 32 antivirus 2 usersWindowsNairobi, Nairobi Central",,"Nairobi, Nairobi Central",,"Eset node 32 antivirus 2 usersWindowsNairobi, Nairobi Central"
Eset node 32 antivirus 2 users,,,,Eset node 32 antivirus 2 users
6tb Harddrives Deskop,"KSh 12,000","Nairobi, Nairobi Central",https://jiji.co.ke/nairobi-central/computer-hardware/6tb-harddrives-deskop-xrpGJBUGbfeOVYqtIxT3ml1G.html?page=17&pos=17&cur_pos=17&ads_per_page=24&ads_count=263478&lid=aM_adZCltcFmHXqv&indexPosition=16,"KSh 12,0006tb Harddrives Deskop4tb harddisk
6tb harddisk
8tb harddisk
10tb harddisk
 all desktop harddisk availableRefurbishedNairobi, Nairobi Central"
4tb harddisk,,"Nairobi, Nairobi Central",,"4tb harddisk
6tb harddisk
8tb harddisk
10tb harddisk
 all desktop harddisk availableRefurbishedNairobi, Nairobi Central"
"Hp 9013 Officejet Pro, 9013/ Hp 9013 Printer","KSh 29,999","Nairobi, Nairobi Central",https://jiji.co.ke/nairobi-central/printers-and-scanners/hp-9013-officejet-pro-9013-hp-9013-printer-p3LajK7zp4Y0ysW29yi769Fk.html?page=17&pos=20&cur_pos=20&ads_per_page=24&ads_count=263478&lid=aM_adZCltcFmHXqv&indexPosition=19,"Verified IDKSh 29,999Hp 9013 Officejet Pro, 9013/ Hp 9013 PrinterHP OfficeJet Pro 9013 All-in-One Printer
Print/Scan/Copy/Fax
Automatic Double Sided Printing
4800 x...Ink-Jet PrinterBrand NewNairobi, "
"KSh 29,999","KSh 29,999",,,"KSh 29,999"
HP OfficeJet Pro 9013 All-in-One Printer,,"Nairobi, Nairobi Central",,"HP OfficeJet Pro 9013 All-in-One Printer
Print/Scan/Copy/Fax
Automatic Double Sided Printing
4800 x...Ink-Jet PrinterBrand NewNairobi, Nairobi Central"
Avast Breachguard With Orginal Key,"KSh 2,000","Nairobi, Embakasi",https://jiji.co.ke/embakasi/computer-software/avast-breachguard-with-orginal-key-uPow9ntAhMda8Whq5PksYdIi.html?page=17&pos=23&cur_pos=23&ads_per_page=24&ads_count=263478&lid=aM_adZCltcFmHXqv&indexPosition=22,"Verified IDKSh 2,000Avast Breachguard With Orginal Key1. Monitor for data breaches 24/7
2. Take back your personal info
3. Get smart privacy adviceWindowsNairobi, Embakasi"
1. Monitor for data breaches 24/7,,"Nairobi, Embakasi",,"1. Monitor for data breaches 24/7
2. Take back your personal info
3. Get smart privacy adviceWindowsNairobi, Embakasi"
1tb External HDD Transcend/ Transcend 1tb HDD,"KSh 8,499","Nairobi, Nairobi Central",https://jiji.co.ke/nairobi-central/computer-hardware/1tb-external-hdd-transcend-transcend-1tb-hdd-rv5jogzluSI7KozrpIjJLDzf.html?page=17&pos=3&cur_pos=3&ads_per_page=24&ads_count=263478&lid=aM_adZCltcFmHXqv&indexPosition=2,"Verified IDKSh 8,4991tb External HDD Transcend/ Transcend 1tb HDDTranscend 1tb hdd External HDD TRANSCEND hard disk is a stylish and compact highly portable flash...Brand NewNairobi, Nairobi Central"
"KSh 8,499","KSh 8,499",,,"KSh 8,499"
"Transcend 1tb hdd External HDD TRANSCEND hard disk is a stylish and compact highly portable flash...Brand NewNairobi, Nairobi Central",,"Nairobi, Nairobi Central",,"Transcend 1tb hdd External HDD TRANSCEND hard disk is a stylish and compact highly portable flash...Brand NewNairobi, Nairobi Central"
Transcend 1tb hdd External HDD TRANSCEND hard disk is a stylish and compact highly portable flash...,,,,Transcend 1tb hdd External HDD TRANSCEND hard disk is a stylish and compact highly portable flash...
Epson L 3060 (3in1 Printer),"KSh 20,000","Nairobi, Nairobi Central",https://jiji.co.ke/nairobi-central/printers-and-scanners/epson-l-3060-3in1-printer-blmed6QX7p9EKNY7nfLdNUn6.html?page=17&pos=6&cur_pos=6&ads_per_page=24&ads_count=263478&lid=aM_adZCltcFmHXqv&indexPosition=5,"KSh 20,000Epson L 3060 (3in1 Printer)Scan, copy and print. wifi printing enabledInk-Jet PrinterRefurbishedNairobi, Nairobi Central"
"Scan, copy and print. wifi printing enabledInk-Jet PrinterRefurbishedNairobi, Nairobi Central",,"Nairobi, Nairobi Central",,"Scan, copy and print. wifi printing enabledInk-Jet PrinterRefurbishedNairobi, Nairobi Central"
"Scan, copy and print. wifi printing enabled",,,,"Scan, copy and print. wifi printing enabled"
Sharp Smart Tv Replacement Remote,"KSh 1,500","Nairobi, Nairobi Central",https://jiji.co.ke/nairobi-central/accessories-and-supplies-for-electronics/sharp-smart-tv-replacement-remote-rNTXBDIWujSURSHe8qPIHXl6.html?page=17&pos=9&cur_pos=9&ads_per_page=24&ads_count=263478&lid=aM_adZCltcFmHXqv&indexPosition=8,"KSh 1,500Sharp Smart Tv Replacement RemoteBrand new replacement Sharp Tv remote control.
Easy to operate.
No resetting required 
Long-lasting...Nairobi, Nairobi Central"
Brand new replacement Sharp Tv remote control.,,"Nairobi, Nairobi Central",,"Brand new replacement Sharp Tv remote control.
Easy to operate.
No resetting required 
Long-lasting...Nairobi, Nairobi Central"
Auto Cable 10mm,"KSh 40,000","Nairobi, Nairobi Central",https://jiji.co.ke/nairobi-central/accessories-and-supplies-for-electronics/auto-cable-10mm-3AtV7wZ8gG6gOo6aPPL5pxPj.html?page=17&pos=12&cur_pos=12&ads_per_page=24&ads_count=263478&lid=aM_adZCltcFmHXqv&indexPosition=11,"KSh 40,000Auto Cable 10mmAuto cable red and black price per metre
10mm... 
16mm... 
25mm... 
35mm... 
50mm...Nairobi, Nairobi Central"
Auto cable red and black price per metre,,"Nairobi, Nairobi Central",,"Auto cable red and black price per metre
10mm... 
16mm... 
25mm... 
35mm... 
50mm...Nairobi, Nairobi Central"
Audio and Video Capture Card,"KSh 1,200","Nairobi, Nairobi Central",https://jiji.co.ke/nairobi-central/computer-accessories/audio-and-video-capture-card-BjhUAfNPhSbZgI8D9zZMnCvL.html?page=17&pos=15&cur_pos=15&ads_per_page=24&ads_count=263478&lid=aM_adZCltcFmHXqv&indexPosition=14,"KSh 1,200Audio and Video Capture CardIt is hdmi video capture card for audio and videoBrand NewNairobi, Nairobi Central"
"It is hdmi video capture card for audio and videoBrand NewNairobi, Nairobi Central",,"Nairobi, Nairobi Central",,"It is hdmi video capture card for audio and videoBrand NewNairobi, Nairobi Central"
It is hdmi video capture card for audio and video,,,,It is hdmi video capture card for audio and video
5mtrs Display Port to Display Port Cable,"KSh 1,500","Nairobi, Nairobi Central",https://jiji.co.ke/nairobi-central/computer-accessories/5mtrs-display-port-to-display-port-cable-A3N2c1CpG0lw69pKy3rMMkRE.html?page=17&pos=18&cur_pos=18&ads_per_page=24&ads_count=263478&lid=aM_adZCltcFmHXqv&indexPosition=17,"KSh 1,5005mtrs Display Port to Display Port CableIt is display port to display port cable 5mtrsBrand NewNairobi, Nairobi Central"
"It is display port to display port cable 5mtrsBrand NewNairobi, Nairobi Central",,"Nairobi, Nairobi Central",,"It is display port to display port cable 5mtrsBrand NewNairobi, Nairobi Central"
It is display port to display port cable 5mtrs,,,,It is display port to display port cable 5mtrs
WD My Cloud Expert Series EX2 Ultra 8TB -,"KSh 57,450","Nairobi, Nairobi Central",https://jiji.co.ke/nairobi-central/computer-hardware/wd-my-cloud-expert-series-ex2-ultra-8tb-oWwXotxpES2qlcasgLpRouCf.html?page=17&pos=21&cur_pos=21&ads_per_page=24&ads_count=263478&lid=aM_adZCltcFmHXqv&indexPosition=20,"Verified IDKSh 57,450WD My Cloud Expert Series EX2 Ultra 8TB -Wd my cloud expert series ex2 ultra 8tb - wdbvbz0080jch-eesnBrand NewNairobi, Nairobi Central"
"KSh 57,450","KSh 57,450",,,"KSh 57,450"
"Wd my cloud expert series ex2 ultra 8tb - wdbvbz0080jch-eesnBrand NewNairobi, Nairobi Central",,"Nairobi, Nairobi Central",,"Wd my cloud expert series ex2 ultra 8tb - wdbvbz0080jch-eesnBrand NewNairobi, Nairobi Central"
Wd my cloud expert series ex2 ultra 8tb - wdbvbz0080jch-eesn,,,,Wd my cloud expert series ex2 ultra 8tb - wdbvbz0080jch-eesn
